id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,match_date,home_name,home_code,home_group,home_placeholder,away_name,away_code,away_group,away_placeholder,city_name,country,stadium,home_rank,home_points,away_rank,away_points,rank_diff,points_diff,has_teams,is_mexico
72,72,40,37,3,1,2026-06-28T03:00:00Z,Group J,2026-06-28,Jordan,JOR,J,FALSE,Argentina,ARG,J,FALSE,Dallas,USA,AT&T Stadium,64,1388.93,2,1873.33,62,-484.39999999999986,TRUE,FALSE
73,73,,,6,2,2026-06-28T22:00:00Z,2A vs 2B,2026-06-28,,,,,,,,,Los Angeles,USA,SoFi Stadium,,,,,0,0,,FALSE
74,74,,,4,2,2026-06-29T18:00:00Z,1C vs 2F,2026-06-29,,,,,,,,,Houston,USA,NRG Stadium,,,,,0,0,,FALSE
75,75,,,2,2,2026-06-29T20:30:00Z,1E vs 3ABCDF,2026-06-29,,,,,,,,,Boston,USA,Gillette Stadium,,,,,0,0,,FALSE
76,76,,,16,2,2026-06-30T03:00:00Z,1F vs 2C,2026-06-30,,,,,,,,,Monterrey,Mexico,Estadio BBVA,,,,,0,0,,TRUE
77,77,,,3,2,2026-06-30T18:00:00Z,2E vs 2I,2026-06-30,,,,,,,,,Dallas,USA,AT&T Stadium,,,,,0,0,,FALSE
78,78,,,8,2,2026-06-30T21:00:00Z,1I vs 3CDFGH,2026-06-30,,,,,,,,,New York/New Jersey,USA,MetLife Stadium,,,,,0,0,,FALSE
79,79,,,15,2,2026-07-01T03:00:00Z,1A vs 3CEFHI,2026-07-01,,,,,,,,,Mexico City,Mexico,Estadio Azteca,,,,,0,0,,TRUE
80,80,,,1,2,2026-07-01T16:00:00Z,1L vs 3EHIJK,2026-07-01,,,,,,,,,Atlanta,USA,Mercedes-Benz Stadium,,,,,0,0,,FALSE
81,81,,,11,2,2026-07-01T23:00:00Z,1G vs 3AEHIJ,2026-07-01,,,,,,,,,Seattle,USA,Lumen Field,,,,,0,0,,FALSE
82,82,,,10,2,2026-07-02T03:00:00Z,1D vs 3BEFIJ,2026-07-02,,,,,,,,,San Francisco Bay Area,USA,Levi's Stadium,,,,,0,0,,FALSE
83,83,,,6,2,2026-07-02T22:00:00Z,1H vs 2J,2026-07-02,,,,,,,,,Los Angeles,USA,SoFi Stadium,,,,,0,0,,FALSE
84,84,,,12,2,2026-07-02T23:00:00Z,2K vs 2L,2026-07-02,,,,,,,,,Toronto,Canada,BMO Field,,,,,0,0,,FALSE
85,85,,,13,2,2026-07-03T06:00:00Z,1B vs 3EFGIJ,2026-07-03,,,,,,,,,Vancouver,Canada,BC Place,,,,,0,0,,FALSE
86,86,,,3,2,2026-07-03T19:00:00Z,2D vs 2G,2026-07-03,,,,,,,,,Dallas,USA,AT&T Stadium,,,,,0,0,,FALSE
87,87,,,7,2,2026-07-03T22:00:00Z,1J vs 2H,2026-07-03,,,,,,,,,Miami,USA,Hard Rock Stadium,,,,,0,0,,FALSE
88,88,,,5,2,2026-07-04T02:30:00Z,1K vs 3DEIJL,2026-07-04,,,,,,,,,Kansas City,USA,Arrowhead Stadium,,,,,0,0,,FALSE
89,89,,,4,3,2026-07-04T18:00:00Z,W73 vs W75,2026-07-04,,,,,,,,,Houston,USA,NRG Stadium,,,,,0,0,,FALSE
90,90,,,9,3,2026-07-04T21:00:00Z,W74 vs W77,2026-07-04,,,,,,,,,Philadelphia,USA,Lincoln Financial Field,,,,,0,0,,FALSE
